Date,Day,App_Name,Category,Minutes_Used
2026-07-18,Saturday,Brave (Streaming),Entertainment,225
2026-07-18,Saturday,YouTube,Entertainment,154
2026-07-18,Saturday,ChatGPT,Education,139
2026-07-18,Saturday,VS Code,Coding,129
2026-07-18,Saturday,Brave (Research),Education,79
2026-07-18,Saturday,Claude,Education,73
2026-07-18,Saturday,Instagram,Social Media,58
2026-07-18,Saturday,Gemini,Education,53
2026-07-18,Saturday,Google Colab,Coding,51
2026-07-18,Saturday,LinkedIn,Social Media,11
2026-07-18,Saturday,Gmail,Productivity,11
2026-07-18,Saturday,GitHub,Coding,9
2026-07-18,Saturday,WhatsApp,Social Media,8
2026-07-18,Saturday,Microsoft Teams,Communication,6
2026-07-19,Sunday,Brave (Streaming),Entertainment,225
2026-07-19,Sunday,YouTube,Entertainment,135
2026-07-19,Sunday,ChatGPT,Education,126
2026-07-19,Sunday,VS Code,Coding,88
2026-07-19,Sunday,Brave (Research),Education,79
2026-07-19,Sunday,Claude,Education,64
2026-07-19,Sunday,Instagram,Social Media,55
2026-07-19,Sunday,Gemini,Education,50
2026-07-19,Sunday,GitHub,Coding,17
2026-07-19,Sunday,WhatsApp,Social Media,16
2026-07-19,Sunday,Gmail,Productivity,16
2026-07-19,Sunday,LinkedIn,Social Media,9
2026-07-20,Monday,VS Code,Coding,202
2026-07-20,Monday,ChatGPT,Education,143
2026-07-20,Monday,Brave (Research),Education,123
2026-07-20,Monday,Zoom,Communication,90
2026-07-20,Monday,Claude,Education,72
2026-07-20,Monday,Instagram,Social Media,60
2026-07-20,Monday,Gemini,Education,53
2026-07-20,Monday,Brave (Streaming),Entertainment,42
2026-07-20,Monday,YouTube,Entertainment,18
2026-07-20,Monday,Gmail,Productivity,15
2026-07-20,Monday,WhatsApp,Social Media,14
2026-07-20,Monday,GitHub,Coding,13
2026-07-20,Monday,LinkedIn,Social Media,12
2026-07-21,Tuesday,VS Code,Coding,221
2026-07-21,Tuesday,ChatGPT,Education,157
2026-07-21,Tuesday,Brave (Research),Education,77
2026-07-21,Tuesday,Claude,Education,70
2026-07-21,Tuesday,Google Colab,Coding,68
2026-07-21,Tuesday,Instagram,Social Media,63
2026-07-21,Tuesday,Gemini,Education,58
2026-07-21,Tuesday,Brave (Streaming),Entertainment,49
2026-07-21,Tuesday,YouTube,Entertainment,26
2026-07-21,Tuesday,GitHub,Coding,24
2026-07-21,Tuesday,Gmail,Productivity,18
2026-07-21,Tuesday,LinkedIn,Social Media,15
2026-07-21,Tuesday,WhatsApp,Social Media,8
2026-07-22,Wednesday,VS Code,Coding,242
2026-07-22,Wednesday,ChatGPT,Education,179
2026-07-22,Wednesday,Brave (Research),Education,90
2026-07-22,Wednesday,Zoom,Communication,90
2026-07-22,Wednesday,Claude,Education,87
2026-07-22,Wednesday,Instagram,Social Media,56
2026-07-22,Wednesday,Gemini,Education,50
2026-07-22,Wednesday,Brave (Streaming),Entertainment,44
2026-07-22,Wednesday,YouTube,Entertainment,35
2026-07-22,Wednesday,GitHub,Coding,20
2026-07-22,Wednesday,Google Docs,Productivity,20
2026-07-22,Wednesday,WhatsApp,Social Media,18
2026-07-22,Wednesday,LinkedIn,Social Media,12
2026-07-22,Wednesday,Gmail,Productivity,11
2026-07-23,Thursday,VS Code,Coding,255
2026-07-23,Thursday,ChatGPT,Education,170
2026-07-23,Thursday,Brave (Research),Education,114
2026-07-23,Thursday,Claude,Education,72
2026-07-23,Thursday,Gemini,Education,66
2026-07-23,Thursday,Google Colab,Coding,64
2026-07-23,Thursday,Instagram,Social Media,61
2026-07-23,Thursday,Brave (Streaming),Entertainment,37
2026-07-23,Thursday,GitHub,Coding,29
2026-07-23,Thursday,YouTube,Entertainment,20
2026-07-23,Thursday,WhatsApp,Social Media,18
2026-07-23,Thursday,LinkedIn,Social Media,14
2026-07-23,Thursday,Gmail,Productivity,12
2026-07-24,Friday,VS Code,Coding,316
2026-07-24,Friday,ChatGPT,Education,248
2026-07-24,Friday,Brave (Research),Education,175
2026-07-24,Friday,Claude,Education,99
2026-07-24,Friday,Zoom,Communication,90
2026-07-24,Friday,Gemini,Education,75
2026-07-24,Friday,Instagram,Social Media,62
2026-07-24,Friday,Brave (Streaming),Entertainment,38
2026-07-24,Friday,GitHub,Coding,26
2026-07-24,Friday,WhatsApp,Social Media,18
2026-07-24,Friday,Google Docs,Productivity,18
2026-07-24,Friday,YouTube,Entertainment,17
2026-07-24,Friday,LinkedIn,Social Media,16
2026-07-24,Friday,Gmail,Productivity,10
2026-07-25,Saturday,Brave (Streaming),Entertainment,224
2026-07-25,Saturday,YouTube,Entertainment,154
2026-07-25,Saturday,ChatGPT,Education,143
2026-07-25,Saturday,Claude,Education,91
2026-07-25,Saturday,VS Code,Coding,91
2026-07-25,Saturday,Brave (Research),Education,86
2026-07-25,Saturday,Google Colab,Coding,68
2026-07-25,Saturday,Instagram,Social Media,65
2026-07-25,Saturday,Gemini,Education,48
2026-07-25,Saturday,GitHub,Coding,30
2026-07-25,Saturday,LinkedIn,Social Media,19
2026-07-25,Saturday,Gmail,Productivity,12
2026-07-25,Saturday,WhatsApp,Social Media,11
2026-07-26,Sunday,Brave (Streaming),Entertainment,226
2026-07-26,Sunday,YouTube,Entertainment,108
2026-07-26,Sunday,ChatGPT,Education,106
2026-07-26,Sunday,VS Code,Coding,80
2026-07-26,Sunday,Brave (Research),Education,64
2026-07-26,Sunday,Instagram,Social Media,59
2026-07-26,Sunday,Claude,Education,55
2026-07-26,Sunday,Gemini,Education,39
2026-07-26,Sunday,GitHub,Coding,37
2026-07-26,Sunday,Gmail,Productivity,20
2026-07-26,Sunday,LinkedIn,Social Media,19
2026-07-26,Sunday,WhatsApp,Social Media,16
2026-07-27,Monday,VS Code,Coding,347
2026-07-27,Monday,ChatGPT,Education,165
2026-07-27,Monday,Brave (Research),Education,140
2026-07-27,Monday,Claude,Education,98
2026-07-27,Monday,Zoom,Communication,90
2026-07-27,Monday,Gemini,Education,88
2026-07-27,Monday,Instagram,Social Media,69
2026-07-27,Monday,GitHub,Coding,36
2026-07-27,Monday,Brave (Streaming),Entertainment,33
2026-07-27,Monday,YouTube,Entertainment,24
2026-07-27,Monday,LinkedIn,Social Media,17
2026-07-27,Monday,WhatsApp,Social Media,16
2026-07-27,Monday,Gmail,Productivity,14
2026-07-28,Tuesday,VS Code,Coding,289
2026-07-28,Tuesday,ChatGPT,Education,161
2026-07-28,Tuesday,Brave (Research),Education,123
2026-07-28,Tuesday,Claude,Education,108
2026-07-28,Tuesday,Instagram,Social Media,55
2026-07-28,Tuesday,Gemini,Education,55
2026-07-28,Tuesday,Google Colab,Coding,54
2026-07-28,Tuesday,Brave (Streaming),Entertainment,49
2026-07-28,Tuesday,GitHub,Coding,44
2026-07-28,Tuesday,LinkedIn,Social Media,22
2026-07-28,Tuesday,YouTube,Entertainment,21
2026-07-28,Tuesday,Gmail,Productivity,14
2026-07-28,Tuesday,WhatsApp,Social Media,12
2026-07-29,Wednesday,VS Code,Coding,247
2026-07-29,Wednesday,ChatGPT,Education,213
2026-07-29,Wednesday,Brave (Research),Education,111
2026-07-29,Wednesday,Zoom,Communication,90
2026-07-29,Wednesday,Claude,Education,79
2026-07-29,Wednesday,Gemini,Education,57
2026-07-29,Wednesday,Instagram,Social Media,55
2026-07-29,Wednesday,Brave (Streaming),Entertainment,37
2026-07-29,Wednesday,YouTube,Entertainment,33
2026-07-29,Wednesday,GitHub,Coding,31
2026-07-29,Wednesday,LinkedIn,Social Media,20
2026-07-29,Wednesday,WhatsApp,Social Media,17
2026-07-29,Wednesday,Google Docs,Productivity,16
2026-07-29,Wednesday,Gmail,Productivity,14
2026-07-29,Wednesday,Microsoft Teams,Communication,8
2026-07-30,Thursday,VS Code,Coding,226
2026-07-30,Thursday,ChatGPT,Education,174
2026-07-30,Thursday,Brave (Research),Education,101
2026-07-30,Thursday,Claude,Education,74
2026-07-30,Thursday,Instagram,Social Media,59
2026-07-30,Thursday,Brave (Streaming),Entertainment,59
2026-07-30,Thursday,Google Colab,Coding,56
2026-07-30,Thursday,Gemini,Education,53
2026-07-30,Thursday,GitHub,Coding,38
2026-07-30,Thursday,YouTube,Entertainment,32
2026-07-30,Thursday,LinkedIn,Social Media,26
2026-07-30,Thursday,Gmail,Productivity,19
2026-07-30,Thursday,WhatsApp,Social Media,10
2026-07-31,Friday,VS Code,Coding,293
2026-07-31,Friday,ChatGPT,Education,231
2026-07-31,Friday,Brave (Research),Education,114
2026-07-31,Friday,Claude,Education,96
